,epoch,loss,natural_loss,robust_loss,entropy_loss_unlabeled
0,1,2.3617043495178223,2.3617043495178223,inf,0.0
1,1,2.2677903175354004,2.2677903175354004,inf,0.0
2,1,2.2721939086914062,2.2721939086914062,inf,0.0
3,1,2.247713565826416,2.247713565826416,inf,0.0
4,1,2.251800298690796,2.251800298690796,inf,0.0
5,1,2.2727742195129395,2.2727742195129395,inf,0.0
6,1,2.2521371841430664,2.2521371841430664,inf,0.0
7,1,2.2375221252441406,2.2375221252441406,inf,0.0
8,1,2.238964319229126,2.238964319229126,inf,0.0
9,1,2.2546064853668213,2.2546064853668213,inf,0.0
10,1,2.243159055709839,2.243159055709839,inf,0.0
11,1,2.2056405544281006,2.2056405544281006,inf,0.0
12,1,2.2772068977355957,2.2772068977355957,inf,0.0
13,1,2.2302324771881104,2.2302324771881104,inf,0.0
14,1,2.1755611896514893,2.1755611896514893,inf,0.0
15,1,2.1610891819000244,2.1610891819000244,inf,0.0
16,1,2.1928045749664307,2.1928045749664307,inf,0.0
17,1,2.1935954093933105,2.1935954093933105,inf,0.0
18,1,2.180032730102539,2.180032730102539,inf,0.0
19,1,2.239161491394043,2.239161491394043,inf,0.0
20,1,2.2052931785583496,2.2052931785583496,inf,0.0
21,1,2.1582024097442627,2.1582024097442627,inf,0.0
22,1,2.2992935180664062,2.2992935180664062,inf,0.0
23,1,2.1198806762695312,2.1198806762695312,inf,0.0
24,1,2.1922733783721924,2.1922733783721924,inf,0.0
25,1,2.0893311500549316,2.0893311500549316,inf,0.0
26,1,2.1441428661346436,2.1441428661346436,inf,0.0
27,1,2.1267545223236084,2.1267545223236084,inf,0.0
28,1,2.1534903049468994,2.1534903049468994,inf,0.0
29,1,2.1321940422058105,2.1321940422058105,inf,0.0
30,1,2.074561357498169,2.074561357498169,inf,0.0
31,1,2.10052227973938,2.10052227973938,inf,0.0
32,1,2.005629539489746,2.005629539489746,inf,0.0
33,1,1.9751958847045898,1.9751958847045898,inf,0.0
34,1,2.051226854324341,2.051226854324341,inf,0.0
35,1,1.9851725101470947,1.9851725101470947,inf,0.0
36,1,1.9320485591888428,1.9320485591888428,inf,0.0
37,1,1.9508780241012573,1.9508780241012573,inf,0.0
38,1,1.8723849058151245,1.8723849058151245,inf,0.0
39,1,1.9251641035079956,1.9251641035079956,inf,0.0
40,1,1.8432832956314087,1.8432832956314087,inf,0.0
41,1,1.8664592504501343,1.8664592504501343,inf,0.0
42,1,1.7827458381652832,1.7827458381652832,inf,0.0
43,1,1.7554527521133423,1.7554527521133423,inf,0.0
44,1,1.7613312005996704,1.7613312005996704,inf,0.0
45,1,1.758443832397461,1.758443832397461,inf,0.0
46,1,1.7580264806747437,1.7580264806747437,inf,0.0
47,1,1.6358535289764404,1.6358535289764404,inf,0.0
48,1,1.5108722448349,1.5108722448349,inf,0.0
49,1,1.6230398416519165,1.6230398416519165,inf,0.0
50,1,1.5622787475585938,1.5622787475585938,inf,0.0
51,1,1.4322335720062256,1.4322335720062256,inf,0.0
52,1,1.3414585590362549,1.3414585590362549,inf,0.0
53,1,1.4248405694961548,1.4248405694961548,inf,0.0
54,1,1.3812804222106934,1.3812804222106934,inf,0.0
55,1,1.4429686069488525,1.4429686069488525,inf,0.0
56,1,1.3995147943496704,1.3995147943496704,inf,0.0
57,1,1.4292372465133667,1.4292372465133667,inf,0.0
58,1,1.4102513790130615,1.4102513790130615,inf,0.0
59,1,1.2123544216156006,1.2123544216156006,inf,0.0
60,1,1.2746697664260864,1.2746697664260864,inf,0.0
61,1,1.2113772630691528,1.2113772630691528,inf,0.0
62,1,1.3602163791656494,1.3602163791656494,inf,0.0
63,1,1.133448600769043,1.133448600769043,inf,0.0
